ability	förmåga
able	stånd
about	handla om
above	ovan
accept	acceptera
according	enligt
account	konto
across	tvärs över
act	spela teater
action	handling
activity	aktivitet
actually	faktiskt
add	lägg till
address	adress
administration	administrering
admit	erkänna
adult	vuxen
affect	påverka
after	efter
again	igen
against	mot
age	ålder
agency	byrå
agent	ombud
ago	sedan
agree	hålla med
agreement	avtal
ahead	ett huvud
air	luft
all	allt
allow	tillåta
almost	nästan
alone	ensam
along	längs
already	redan
also	också
although	fastän
always	alltid
american	amerikan
among	bland
amount	mängd
analysis	analys
and	och
animal	djur
another	annan
answer	svar
any	några
anyone	någon
anything	något
appear	dyka upp
apply	tillämpa
approach	närma sig
area	område
argue	argumentera
arm	ärm
around	runt
arrive	anlända
art	konst
article	artikel
artist	konstnär
as	som
ask	fråga
assume	antar
at	på
attack	ge sig på
attention	uppmärksamhet
attorney	advokat
audience	publik
author	författare
authority	auktoritet
available	tillgängliga
avoid	undvika
away	bort
baby	bebis
back	tillbaka
bad	dålig
bag	väska
ball	boll
bank	bank
bar	bar
base	bas
be	vara
beat	slå
beautiful	vacker
because	därför att
become	bli
bed	säng
before	innan
begin	börja
behavior	beteende
behind	bakom
believe	tro
benefit	dra nytta
best	bäst
better	bättre
between	mellan
beyond	bortom
big	stor
bill	räkningen
billion	miljard
bit	bit
black	svart
blood	blod
blue	blå
board	styrelse
body	kropp
book	bok
born	född
both	både
box	låda
boy	pojke
break	ha sönder
bring	föra
brother	bror
budget	budget
build	bygga
building	byggnad
business	företag
but	men
buy	köpa
by	av
call	ring upp
camera	kamera
campaign	kampanj
can	kan
cancer	cancer
candidate	kandidat
capital	huvudstaden
car	bil
card	kort
care	vård
career	karriär
carry	bära
case	fall
catch	fånga
cause	orsak
cell	cell
center	centrum
central	central
century	århundrade
certain	vissa
certainly	säkert
chair	stol
challenge	utmaning
chance	chans
change	byta
character	karaktär
charge	avgift
check	kolla upp
child	barn
choice	val
choose	välja
church	kyrka
citizen	medborgare
city	stad
civil	civil
claim	krav
class	klass
clear	klar
clearly	klart
close	stänga
coach	tränare
cold	kall
collection	samling
college	högskola
color	färg
come	komma
commercial	kommersiell
common	allmänning
community	gemenskap
company	företag
compare	jämföra
computer	dator
concern	oro
condition	skick
conference	konferens
congress	kongress
consider	överväga
consumer	konsument
contain	innehålla
continue	fortsätta
control	kontrollera
cost	kosta
could	skulle kunna
country	land
couple	par
course	kurs
court	domstol
cover	omslag
create	skapa
crime	brottslighet
cultural	kulturell
culture	kultur
cup	kopp
current	nuvarande
customer	kund
cut	skära
dark	mörk
data	data
daughter	dotter
day	dag
dead	död
deal	handla
death	död
debate	debatt
decade	årtionde
decide	besluta
decision	beslut
deep	djup
defense	försvar
degree	grad
democrat	demokrat
democratic	demokratisk
describe	beskriva
design	design
despite	trots
detail	detalj
determine	bestämma
develop	utveckla
development	utveckling
die	dö
difference	skillnad
different	annorlunda
difficult	svår
dinner	middag
direction	riktning
director	direktör
discover	upptäck
discuss	diskutera
discussion	diskussion
disease	sjukdom
do	do
doctor	läkare
dog	hund
door	dörr
down	ner
draw	dra
dream	dröm
drive	kör
drop	släppa
drug	läkemedel
during	under
each	varje
early	tidigt
east	öster
easy	lätt
eat	äta
economic	ekonomisk
economy	ekonomi
edge	kant
education	utbildning
